source,target,value
"CAIXABANK, S.A.","LOPEZ BURNIOL, JUAN JOSE",1
"CAIXABANK, S.A.","MINC , ALAIN",2
"CAIXABANK, S.A.","MONTE DE PIEDAD Y CAJA DE AHORROS SAN FERNANDO DE GUADALAJARA, HUELVA, JEREZ",1
"CAIXABANK, S.A.","NIN GENOVA, JUAN MARIA",3
"CAIXABANK, S.A.","REED , JOHN S.",1
"CAIXABANK, S.A.","RODES CASTAÑE, LEOPOLDO",1
"CAIXABANK, S.A.","ROSELL LASTORTRAS, JUAN",2
"CAIXABANK, S.A.","VIVES TORRENTS, FRANCESC XAVIER",1
"CAMPOFRIO FOOD GROUP, S.A.","BALLVE LANTERO, PEDRO JOSE",1
"CAMPOFRIO FOOD GROUP, S.A.","DE LA DEHESA ROMERO, GUILLERMO",4
"CAMPOFRIO FOOD GROUP, S.A.","GUIBELALDE IÑURRITEGUI, JUAN JOSE",1
"CAMPOFRIO FOOD GROUP, S.A.","LARRY POPE, CHARLES",1
"CAMPOFRIO FOOD GROUP, S.A.","LUTER IV , JOSEPH W.",1
"CAMPOFRIO FOOD GROUP, S.A.","MICHAEL KHAIRALLAH, KARIM",1
"CAMPOFRIO FOOD GROUP, S.A.","PETRIDES , YIANNIS",1
"CAMPOFRIO FOOD GROUP, S.A.","SAMUEL KRAMER, CALEB",1
"CAMPOFRIO FOOD GROUP, S.A.","SERRANO MARTIN, LUIS",1
"CAMPOFRIO FOOD GROUP, S.A.","SHARPE , ROBERT ALAIR",1
"BANKIA, S.A","AYUSO GARCIA, JOAQUIN",2
"BANKIA, S.A","CAMPO GARCIA, FRANCISCO JAVIER",2
"BANKIA, S.A","CASTILLO SANZ, EVA",2
"BANKIA, S.A","COSMEN MENENDEZ-CASTAÑEDO, JORGE",1
"BANKIA, S.A","FEITO HIGUERUELA, JOSE LUIS",1
"BANKIA, S.A","FERNANDEZ MENDEZ DE ANDES, FERNANDO",2
"BANKIA, S.A","GOIRIGOLZARRI TELLAECHE, JOSE IGNACIO",2
"BANKIA, S.A","LAFITA PARDO, ALFREDO",1
"BANKIA, S.A","RENGIFO ABBAD, ALVARO",1
"BANKIA, S.A","SEVILLA ALVAREZ, JOSE",1
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","ARNAU SIERRA, JOSE",1
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","ESPINOSA DE LOS MONTEROS BERNALDO DE QUIROS, CARLOS",2
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","GARTLER, S.L.",1
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","ISLA ALVAREZ DE TEJERA, PABLO",2
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","MILLER , IRENE R.",1
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","ORTEGA GAONA, AMANCIO",1
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","SARACHO RODRIGUEZ DE TORRES, EMILIO",1
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","SMEDEGAARD ANDERSEN, NILS",1
"INDUSTRIA DE DISEÑO TEXTIL, S.A.","URGOITI LOPEZ OCAÑA, JUAN MANUEL",2
"FLUIDRA, S.A.","ACHA-ORBEA ECHEVERRIA, JUAN IGNACIO",1
"FLUIDRA, S.A.","ANIOL, S.L.",1
"FLUIDRA, S.A.","BANSABADELL INVERSIO DESENVOLUPAMENT, S.A.",1
"FLUIDRA, S.A.","CATHCART , RICHARD",1
"FLUIDRA, S.A.","CORBERA SERRA, BERNARDO",1
"FLUIDRA, S.A.","GRUPO CORPORATIVO EMPRESARIAL DE LA CAJA DE AHORROS Y M. PIEDAD DE NAVARRA",3
